"year","mean","median","lcl","ucl"
2015,0,0,0,0
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0.000999999999999999,0,0,0
2027,0.000999999999999999,0,0,0
2028,0.000999999999999999,0,0,0
2029,0.000999999999999999,0,0,0
2030,0.000999999999999999,0,0,0
2031,0.000999999999999999,0,0,0
2032,0.000999999999999999,0,0,0
2033,0.000999999999999999,0,0,0
2034,0.002,0,0,0
2035,0.002,0,0,0
2036,0.004,0,0,0
2037,0.00500000000000008,0,0,0
2038,0.006,0,0,0
2039,0.00700000000000012,0,0,0
2040,0.00799999999999999,0,0,0
2041,0.00799999999999999,0,0,0
2042,0.0100000000000002,0,0,0
2043,0.0100000000000002,0,0,0
2044,0.0110000000000001,0,0,0
2045,0.012,0,0,0
